
2024/11/07 (13:01:38) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/07 (13:01:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/07 (13:01:38) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/07 (13:01:38) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/07 (13:01:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/07 (13:38:43) | ===> btop++ v.1.3.2
2024/11/07 (13:38:43) | WARNING: ROCm SMI: Failed to get device name
2024/11/07 (13:38:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/07 (13:38:43) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/11/07 (13:38:43) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/07 (13:38:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/07 (13:38:43) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/07 (13:38:43) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/07 (13:38:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/12 (20:49:28) | ===> btop++ v.1.3.2
2024/11/12 (20:49:28) | WARNING: ROCm SMI: Failed to get device name
2024/11/12 (20:49:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/12 (20:49:28) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/11/12 (20:49:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/12 (20:49:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/12 (20:49:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/12 (20:49:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/12 (20:49:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/13 (19:24:39) | ===> btop++ v.1.3.2
2024/11/13 (19:24:39) | WARNING: ROCm SMI: Failed to get device name
2024/11/13 (19:24:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/13 (19:24:39) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/11/13 (19:24:39) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/13 (19:24:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/13 (19:24:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/13 (19:24:39) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/13 (19:24:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/13 (19:30:45) | ===> btop++ v.1.3.2
2024/11/13 (19:30:45) | WARNING: ROCm SMI: Failed to get device name
2024/11/13 (19:30:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/13 (19:30:45) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/11/13 (19:30:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/13 (19:30:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/13 (19:30:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/13 (19:30:45) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/13 (19:30:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/13 (19:31:36) | ===> btop++ v.1.3.2
2024/11/13 (19:31:36) | WARNING: ROCm SMI: Failed to get device name
2024/11/13 (19:31:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/13 (19:31:36) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/11/13 (19:31:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/13 (19:31:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/13 (19:31:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/13 (19:31:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/13 (19:31:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/13 (19:33:30) | ===> btop++ v.1.3.2
2024/11/13 (19:33:30) | WARNING: ROCm SMI: Failed to get device name
2024/11/13 (19:33:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/13 (19:33:30) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/11/13 (19:33:30) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/13 (19:33:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/13 (19:33:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/13 (19:33:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/13 (19:33:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/14 (22:10:12) | ===> btop++ v.1.3.2
2024/11/14 (22:10:12) | WARNING: ROCm SMI: Failed to get device name
2024/11/14 (22:10:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/14 (22:10:12) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/11/14 (22:10:12) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/14 (22:10:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/14 (22:10:12) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/14 (22:10:12) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/14 (22:10:12) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/28 (22:49:26) | ===> btop++ v.1.3.2
2024/11/28 (22:49:26) | WARNING: ROCm SMI: Failed to get device name
2024/11/28 (22:49:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/28 (22:49:26) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/11/28 (22:49:26) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/28 (22:49:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/28 (22:49:26) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/28 (22:49:26) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/28 (22:49:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/02 (16:04:41) | ===> btop++ v.1.3.2
2024/12/02 (16:04:41) | WARNING: ROCm SMI: Failed to get device name
2024/12/02 (16:04:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/02 (16:04:41) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/12/02 (16:04:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/02 (16:04:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/02 (16:04:41) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/02 (16:04:41) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/02 (16:04:41) | WARNING: ROCm SMI: Failed to get PCIe throughput
